"","df09.instnm","df09.inexpfte","df09.tuitfte","df10.instnm","df10.inexpfte","df10.tuitfte","df11.instnm","df11.inexpfte","df11.tuitfte","df12.instnm","df12.inexpfte","df12.tuitfte","df13.instnm","df13.inexpfte","df13.tuitfte","df14.instnm","df14.inexpfte","df14.tuitfte"
"72","University of Advancing Technology",5015,21957,"University of Advancing Technology",5015,21957,"University of Advancing Technology",5015,21957,"University of Advancing Technology",5015,21957,"University of Advancing Technology",5015,21957,"University of Advancing Technology",5015,21957
"73","Brookline College-Tempe",2336,6210,"Brookline College-Tempe",2336,6210,"Brookline College-Tempe",2336,6210,"Brookline College-Tempe",2336,6210,"Brookline College-Tempe",2336,6210,"Brookline College-Tempe",2336,6210
"74","Arizona State University-West",8436,10868,"Arizona State University-West",8436,10868,"Arizona State University-West",8436,10868,"Arizona State University-West",8436,10868,"Arizona State University-West",8436,10868,"Arizona State University-West",8436,10868
"75","Southwest College of Naturopathic Medicine & Health Sciences",10977,22828,"Southwest College of Naturopathic Medicine & Health Sciences",10977,22828,"Southwest College of Naturopathic Medicine & Health Sciences",10977,22828,"Southwest College of Naturopathic Medicine & Health Sciences",10977,22828,"Southwest College of Naturopathic Medicine & Health Sciences",10977,22828,"Southwest College of Naturopathic Medicine & Health Sciences",10977,22828
"76","Regency Beauty Institute-East Tucson",5824,8889,"Regency Beauty Institute-East Tucson",5824,8889,"Regency Beauty Institute-East Tucson",5824,8889,"Regency Beauty Institute-East Tucson",5824,8889,"Regency Beauty Institute-East Tucson",5824,8889,"Regency Beauty Institute-East Tucson",5824,8889
"77","Brown Mackie College-Phoenix",4418,10087,"Brown Mackie College-Phoenix",4418,10087,"Brown Mackie College-Phoenix",4418,10087,"Brown Mackie College-Phoenix",4418,10087,"Brown Mackie College-Phoenix",4418,10087,"Brown Mackie College-Phoenix",4418,10087
"78","Paul Mitchell the School-Phoenix",3265,9698,"Paul Mitchell the School-Phoenix",3265,9698,"Paul Mitchell the School-Phoenix",3265,9698,"Paul Mitchell the School-Phoenix",3265,9698,"Paul Mitchell the School-Phoenix",3265,9698,"Paul Mitchell the School-Phoenix",3265,9698
"79","DeVry University-Arizona",3779,14697,"DeVry University-Arizona",3779,14697,"DeVry University-Arizona",3779,14697,"DeVry University-Arizona",3779,14697,"DeVry University-Arizona",3779,14697,"DeVry University-Arizona",3779,14697
"80","All Beauty College",1784,729,"All Beauty College",1784,729,"All Beauty College",1784,729,"All Beauty College",1784,729,"All Beauty College",1784,729,"All Beauty College",1784,729
"81","University of Phoenix-Arizona",2016,12922,"University of Phoenix-Arizona",2016,12922,"University of Phoenix-Arizona",2016,12922,"University of Phoenix-Arizona",2016,12922,"University of Phoenix-Arizona",2016,12922,"University of Phoenix-Arizona",2016,12922
